#chr	start	end	gene	GM12878	HeLaS3	HMEC	HUVEC	IMR90	K562	NHEK
chr20	49615907	49626556	ENSG00000232358	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	151451616	151476581	ENSG00000232359	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr21	34216677	34222244	ENSG00000232360	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	150311149	150311852	ENSG00000232361	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	123180823	123181133	ENSG00000232362	0.61	0.0	0.0	0.4	0.0	0.31	0.0
chr22	45831744	45844624	ENSG00000232363	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	157693970	157694810	ENSG00000232366	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	30648415	30648942	ENSG00000232368	0.0	0.0	0.0	0.1	0.0	0.04	0.0
chr1	45453906	45454397	ENSG00000232369	0.0	0.0	0.0	0.0	0.0	0.71	0.0
chrX	38338468	38339166	ENSG00000232370	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	96346823	96347959	ENSG00000232373	0.12	0.0	0.02	0.0	0.03	0.0	0.07
chr3	158558788	158559873	ENSG00000232374	0.0	0.11	0.0	0.0	0.0	0.0	0.0
chr3	43078613	43078943	ENSG00000232375	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	144694640	144721723	ENSG00000232377	0.03	0.0	0.0	0.1	0.0	0.0	0.0
chr13	37500575	37501356	ENSG00000232378	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	136029907	136030292	ENSG00000232379	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	69559190	69560196	ENSG00000232380	0.0	0.0	0.22	0.15	0.03	0.02	0.11
chr11	5740520	5741442	ENSG00000232381	0.0	0.0	0.0	0.0	0.0	0.0	0.01
chr3	98188324	98189420	ENSG00000232382	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	26315815	26316226	ENSG00000232383	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	94324339	94325131	ENSG00000232385	0.13	0.0	0.0	0.45	0.0	0.0	0.01
chr15	101389766	101402376	ENSG00000232386	0.05	0.79	0.22	0.0	0.08	0.0	0.06
chr9	125524123	125524512	ENSG00000232387	0.25	0.0	0.08	0.0	0.0	0.14	0.09
chr20	18548064	18550207	ENSG00000232388	141.98	32.72	66.12	19.41	33.99	114.25	78.97
chr6	71317937	71319037	ENSG00000232389	0.04	10.46	0.1	1.98	0.29	0.03	0.03
chr11	3343092	3343432	ENSG00000232390	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	146864436	146864664	ENSG00000232391	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	11352353	11354021	ENSG00000232392	0.0	0.0	0.0	0.0	0.0	0.04	0.0
chr1	91489476	91490361	ENSG00000232393	0.0	0.0	0.0	0.06	0.0	0.02	0.0
chr15	28020767	28021944	ENSG00000232394	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	114798514	114809916	ENSG00000232395	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	30101245	30115848	ENSG00000232396	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	68632198	68639572	ENSG00000232398	0.04	0.0	0.0	0.0	0.0	0.03	0.0
chr4	9212383	9228214	ENSG00000232399	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	16903891	16905932	ENSG00000232400	0.0	0.0	0.0	0.0	0.0	0.01	0.0
chr21	43136596	43137740	ENSG00000232401	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	63335253	63335564	ENSG00000232403	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	34736648	34743682	ENSG00000232406	0.07	0.0	0.0	0.0	0.01	0.02	0.0
chr3	60675958	60676452	ENSG00000232407	0.19	0.0	0.0	0.0	0.0	0.0	0.0
chr2	131341122	131348036	ENSG00000232408	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	209381633	209381955	ENSG00000232409	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	166689558	166695608	ENSG00000232411	0.0	0.0	0.0	0.0	0.0	0.0	0.08
chrX	123093083	123095191	ENSG00000232412	0.45	0.44	0.0	0.0	0.0	1.67	0.18
chr9	128819859	128921892	ENSG00000232413	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	73473906	73476614	ENSG00000232415	0.0	0.0	0.0	0.31	0.1	0.0	0.0
chr3	138823027	138844009	ENSG00000232416	0.0	0.0	0.0	0.0	0.0	0.01	0.0
chr7	53854860	53854991	ENSG00000232418	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	126334	132205	ENSG00000232420	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	73696036	73697473	ENSG00000232422	0.02	0.0	0.0	0.03	0.0	0.0	0.04
chr1	12998181	13117751	ENSG00000232423	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr19	34080112	34080594	ENSG00000232429	0.25	0.27	0.0	0.16	0.0	0.05	0.03
chr2	183652825	183653162	ENSG00000232430	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr15	29033389	29037148	ENSG00000232431	0.07	0.0	0.0	0.0	0.0	0.0	0.0
chr9	42493617	42494809	ENSG00000232433	0.0	0.0	0.0	0.0	0.03	0.0	0.01
chr9	139738867	139741797	ENSG00000232434	0.02	2.8	0.05	0.02	0.27	0.0	0.0
chr1	221681901	221684321	ENSG00000232436	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	76884975	76885620	ENSG00000232437	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	38568293	38568816	ENSG00000232439	1.2	0.25	0.0	0.32	0.0	0.15	0.0
chr20	62258580	62260177	ENSG00000232442	5.28	32.02	3.11	2.63	0.96	2.06	1.57
chr2	16497592	16500834	ENSG00000232444	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	100951627	100954266	ENSG00000232445	3.91	52.51	2.3	3.69	0.0	1.04	2.89
chrX	26165891	26166398	ENSG00000232446	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	85095860	85098050	ENSG00000232447	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	10160883	10166423	ENSG00000232448	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	114241506	114242253	ENSG00000232450	0.12	1.48	0.5	0.28	0.88	0.56	0.53
chr2	23240997	23421927	ENSG00000232451	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	59348540	59362375	ENSG00000232453	0.23	0.0	0.63	0.0	0.51	0.55	0.6
chr9	37836041	37836391	ENSG00000232454	0.1	0.6	0.0	0.98	0.0	0.32	0.05
chr3	45525466	45551037	ENSG00000232455	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	16361673	16366524	ENSG00000232456	0.0	0.18	0.08	0.0	0.1	0.0	0.02
chr17	62936720	62952664	ENSG00000232457	0.0	3.46	0.0	0.19	0.05	0.07	0.05
chr7	41004266	41019537	ENSG00000232458	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr15	102368944	102369882	ENSG00000232459	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	121232559	121233574	ENSG00000232460	0.0	6.43	0.7	0.35	0.15	0.0	0.67
chr1	176200336	176200966	ENSG00000232463	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	26355040	26379492	ENSG00000232464	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	51104461	51117130	ENSG00000232465	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr9	26880176	26880547	ENSG00000232466	0.0	0.0	0.0	0.0	0.0	0.0	0.09
chr1	46312666	46313266	ENSG00000232467	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	112629501	112631352	ENSG00000232470	0.17	0.68	0.0	0.0	0.0	0.0	0.0
chr4	49552049	49559417	ENSG00000232471	0.0	0.13	0.0	0.0	0.0	0.0	0.0
chrX	24806509	24807186	ENSG00000232472	6.64	9.97	6.03	9.35	6.64	12.86	11.38
chr2	134189237	134191468	ENSG00000232474	0.0	0.0	0.0	0.0	0.0	0.0	0.1
chr2	203789332	203790627	ENSG00000232479	0.0	0.0	0.12	0.0	0.2	0.02	0.13
chr1	218517538	218519020	ENSG00000232480	0.0	0.0	0.1	0.1	0.0	0.1	0.0
chr1	23737325	23738639	ENSG00000232482	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	217343753	217363484	ENSG00000232485	1.44	0.0	0.56	0.0	0.29	0.46	1.2
chr9	108520445	108523036	ENSG00000232486	0.07	0.0	0.0	0.0	0.0	0.0	0.03
chr13	114873044	114874295	ENSG00000232487	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	31115780	31117034	ENSG00000232489	0.0	0.0	0.0	0.0	0.03	0.0	0.01
chr3	31745550	31763144	ENSG00000232490	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	66021203	66022052	ENSG00000232491	0.03	0.0	0.0	0.0	0.0	0.0	0.0
chr7	18988521	18989385	ENSG00000232492	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	40176061	40176561	ENSG00000232493	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr9	82489611	82501593	ENSG00000232494	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	121672106	121673313	ENSG00000232496	0.0	0.49	0.0	0.29	0.0	0.0	0.0
chr10	22451921	22454723	ENSG00000232497	0.0	0.0	0.0	0.0	0.0	0.03	0.0
chr1	113992322	113993350	ENSG00000232499	0.16	0.32	0.08	0.74	0.0	0.0	0.16
chr11	64268325	64272858	ENSG00000232500	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	95426519	95426861	ENSG00000232502	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	131534219	131534530	ENSG00000232503	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	86116403	86118103	ENSG00000232504	0.07	0.0	0.06	0.0	0.02	0.06	0.09
chr2	88664214	88665127	ENSG00000232508	0.0	0.0	0.0	0.0	0.0	0.03	0.0
chr11	56436493	56437420	ENSG00000232511	0.0	0.0	0.0	0.0	0.02	0.0	0.0
chr21	26467335	26475983	ENSG00000232512	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	48962935	48963408	ENSG00000232514	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	22702157	22702514	ENSG00000232515	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr5	54104038	54168379	ENSG00000232517	0.0	0.0	0.0	0.41	0.06	0.0	0.0
chr2	38895830	38898563	ENSG00000232518	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	155579567	155580171	ENSG00000232519	0.0	0.77	0.0	0.0	0.0	0.0	0.0
chr2	231751215	231761806	ENSG00000232520	0.03	0.0	0.0	0.0	0.0	0.0	0.0
chr7	123096683	123099910	ENSG00000232524	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	35164138	35164350	ENSG00000232525	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	42690279	42691137	ENSG00000232526	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	148928322	148951595	ENSG00000232527	4.18	3.1	13.15	43.26	49.13	13.56	20.02
chr20	1748603	1760641	ENSG00000232528	0.0	0.0	0.07	0.0	0.2	0.0	0.46
chr6	155701645	155702317	ENSG00000232529	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	30635183	30636527	ENSG00000232530	0.0	0.0	0.02	0.0	0.05	0.0	0.0
chr2	91935966	91937021	ENSG00000232531	0.15	0.31	0.08	0.58	0.1	0.04	0.06
chr7	143076785	143077588	ENSG00000232533	1.02	7.36	6.41	18.79	14.25	2.98	5.72
chr3	98030757	98031687	ENSG00000232535	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	151512992	151534331	ENSG00000232536	0.0	0.0	0.11	0.0	0.1	0.0	0.1
chr1	209320612	209328446	ENSG00000232537	0.0	0.28	0.0	0.0	0.0	0.0	0.0
chr21	34430135	34437289	ENSG00000232539	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	43968661	43968961	ENSG00000232540	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	97859710	97885697	ENSG00000232542	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr14	106369474	106369489	ENSG00000232543	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	24497652	24499317	ENSG00000232545	0.06	0.0	0.0	0.1	0.0	0.0	0.02
chr7	66313483	66323123	ENSG00000232546	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	83749938	83750626	ENSG00000232548	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	138529050	138529835	ENSG00000232549	0.04	0.0	0.0	0.0	0.0	0.0	0.01
chr1	107347096	107348654	ENSG00000232551	0.0	0.0	0.0	0.0	0.0	0.0	0.01
chr7	23624681	23625974	ENSG00000232553	0.0	0.04	0.05	0.04	0.06	0.02	0.04
chr10	45595614	45611549	ENSG00000232554	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	173180015	173188465	ENSG00000232555	0.0	0.0	0.0	0.0	0.0	0.04	0.05
chr2	102137296	102138438	ENSG00000232556	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	24233601	24234375	ENSG00000232557	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	112396384	112399527	ENSG00000232558	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr21	18811208	18821503	ENSG00000232560	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	51722319	51723108	ENSG00000232562	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	1435857	1436132	ENSG00000232563	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	40917804	40922711	ENSG00000232564	0.11	0.0	0.0	0.05	0.0	0.0	0.0
chr2	187126146	187126646	ENSG00000232568	0.0	0.0	0.0	0.0	0.0	0.0	0.08
chr14	99439216	99439638	ENSG00000232573	90.45	21.11	29.43	11.68	38.8	52.61	35.79
chrX	88163404	88163764	ENSG00000232576	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr5	93928473	93930496	ENSG00000232578	0.22	0.0	0.0	0.0	0.0	0.01	0.0
chr19	12615479	12615704	ENSG00000232579	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	6618196	6628605	ENSG00000232581	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	134269077	134269698	ENSG00000232582	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	180918835	180924023	ENSG00000232586	1.03	0.04	0.66	0.15	1.08	0.57	0.58
chr13	28788650	28790034	ENSG00000232587	0.12	0.0	0.03	0.0	0.06	0.0	0.1
chr9	76188531	76194414	ENSG00000232590	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	7487520	7513904	ENSG00000232591	0.44	0.0	0.0	0.0	0.0	0.0	0.0
chrX	53123327	53196196	ENSG00000232593	1.62	1.47	1.22	0.19	0.62	0.43	1.09
chr2	95626792	95627248	ENSG00000232594	0.0	0.0	0.0	0.0	0.0	0.14	0.0
chr20	23691957	23692043	ENSG00000232595	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	4631608	4643481	ENSG00000232596	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	104473428	104496667	ENSG00000232597	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	36907847	36912451	ENSG00000232598	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	124337654	124338187	ENSG00000232599	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr8	145660602	145665354	ENSG00000232600	0.0	1.79	0.13	0.54	1.1	0.0	0.11
chr3	174020734	174021077	ENSG00000232601	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	22725197	22725488	ENSG00000232603	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	53091373	53093769	ENSG00000232604	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	84505870	84506272	ENSG00000232605	0.0	0.0	0.0	0.0	0.0	0.0	0.04
chr2	145324002	145337001	ENSG00000232606	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr21	40588550	40589432	ENSG00000232608	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	190432600	190434188	ENSG00000232610	0.0	0.0	0.0	0.0	0.0	0.02	0.0
chrX	135923090	135929956	ENSG00000232611	0.05	0.08	0.08	0.1	0.23	0.58	0.21
chr7	54724051	54724427	ENSG00000232612	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	65257861	65264631	ENSG00000232613	0.06	0.0	0.0	0.0	0.0	0.0	0.0
chr5	1614951	1616449	ENSG00000232615	0.23	0.0	0.02	0.1	0.0	0.01	0.13
chr6	143271348	143277783	ENSG00000232618	0.14	0.0	0.2	0.0	0.05	0.0	0.17
chr1	207399143	207402547	ENSG00000232621	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	85101841	85102789	ENSG00000232622	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr21	33678775	33681048	ENSG00000232623	0.11	0.22	0.03	0.0	0.0	0.03	0.04
chr10	29081732	29097148	ENSG00000232624	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	219706322	219706788	ENSG00000232625	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	202407524	202409085	ENSG00000232626	0.07	0.12	0.05	0.04	0.18	0.0	0.07
chr7	23405237	23405595	ENSG00000232627	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	224396449	224400981	ENSG00000232628	0.0	0.16	0.0	0.0	0.0	0.0	0.08
chr6	32723875	32731311	ENSG00000232629	15.2	0.0	0.01	0.0	0.0	0.0	0.02
chr9	127912932	127913868	ENSG00000232630	0.85	0.39	0.0	0.33	0.0	0.23	0.0
chr2	212641931	212642581	ENSG00000232631	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr5	112658725	112772871	ENSG00000232633	0.0	0.0	0.07	0.0	0.01	0.0	0.04
chr13	88079455	88099490	ENSG00000232636	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	8093504	8095047	ENSG00000232638	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	170125187	170125950	ENSG00000232640	1.76	1.69	0.0	0.0	0.0	0.18	0.0
chr2	24388753	24397874	ENSG00000232642	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	30728203	30728723	ENSG00000232643	0.07	0.0	0.0	0.0	0.0	0.0	0.0
chrX	26218159	26218764	ENSG00000232644	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	23337231	23338753	ENSG00000232645	2.31	0.0	0.4	0.0	0.22	0.47	0.22
chr10	74824884	74825225	ENSG00000232646	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	59645596	59645937	ENSG00000232647	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	184416091	184425647	ENSG00000232648	0.11	0.23	0.1	0.78	0.0	0.0	0.21
chr1	119870799	119898805	ENSG00000232650	0.07	0.0	0.0	0.0	0.0	0.0	0.0
chr15	32885657	32896179	ENSG00000232653	0.05	10.29	0.21	0.54	0.64	0.02	0.2
chr6	3045618	3046034	ENSG00000232654	0.0	0.0	0.0	0.44	0.0	0.0	0.0
chr22	44839207	44840668	ENSG00000232655	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	1068606	1090138	ENSG00000232656	0.68	0.32	0.08	0.0	0.11	0.18	0.68
chr2	194121208	194122482	ENSG00000232658	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	117200787	117204730	ENSG00000232661	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	113930931	113932049	ENSG00000232662	0.0	0.0	0.0	0.0	0.0	0.0	0.01
chr1	8969801	8969963	ENSG00000232663	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	133338383	133339946	ENSG00000232664	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	103891897	103892680	ENSG00000232665	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	79959508	80014295	ENSG00000232667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	53110381	53110593	ENSG00000232668	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	151252500	151254405	ENSG00000232671	4.28	0.48	1.13	0.09	0.85	3.2	0.22
chr1	78239550	78240549	ENSG00000232672	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	19673853	19678220	ENSG00000232675	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	79986765	79987888	ENSG00000232676	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr19	36803969	36822620	ENSG00000232677	1.39	0.11	3.43	0.18	3.34	0.6	11.48
chr1	152050428	152050687	ENSG00000232678	0.0	0.0	0.0	0.0	0.0	0.0	0.1
chr1	222215047	222238105	ENSG00000232679	0.0	0.0	0.66	0.0	0.0	0.0	0.0
chr19	35923859	35925544	ENSG00000232680	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	61815632	61820501	ENSG00000232682	0.0	0.0	0.0	0.0	0.0	0.11	0.01
chr13	113399763	113409007	ENSG00000232684	0.09	0.0	0.0	0.0	0.0	0.0	0.0
chr13	19582399	19586699	ENSG00000232685	0.0	0.0	0.0	0.0	0.01	0.0	0.0
chr21	30500022	30500509	ENSG00000232687	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	67148642	67149589	ENSG00000232688	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	235363801	235364427	ENSG00000232690	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr21	27750871	27844017	ENSG00000232692	0.0	0.21	0.8	0.2	0.05	0.0	1.11
chr2	65600834	65607819	ENSG00000232693	0.12	0.0	0.0	0.0	0.0	0.0	0.0
chr2	46305154	46305967	ENSG00000232696	0.35	0.57	0.0	0.24	0.0	0.0	0.0
chr6	99622620	99623357	ENSG00000232699	0.13	0.22	0.14	0.21	0.31	0.05	0.28
chr13	74951300	74952088	ENSG00000232701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	51274879	51275335	ENSG00000232702	2.4	2.59	0.0	6.24	0.0	0.0	4.8
chr10	52436503	52446086	ENSG00000232706	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	32530015	32530120	ENSG00000232707	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	94178424	94180632	ENSG00000232709	0.0	0.0	0.0	0.0	0.0	0.01	0.0
chr22	42532442	42535938	ENSG00000232710	0.0	0.65	0.07	0.0	0.03	0.03	0.07
chr20	21134664	21198927	ENSG00000232712	0.06	0.0	0.0	0.02	0.0	0.0	0.0
chr2	61165339	61165739	ENSG00000232713	1.43	1.28	0.38	3.29	0.0	0.18	0.44
chr1	235705059	235705397	ENSG00000232714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	158383321	158383812	ENSG00000232715	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	130524963	130528484	ENSG00000232716	0.0	0.0	0.01	0.0	0.0	0.0	0.0
chr2	96240647	96246512	ENSG00000232717	0.0	0.0	0.0	0.0	0.0	0.0	0.01
chr2	3735611	3736571	ENSG00000232718	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	201966105	201967859	ENSG00000232719	0.0	0.19	0.0	0.0	0.0	0.01	0.0
chr1	149230716	149232554	ENSG00000232721	0.1	0.0	0.0	0.0	0.0	0.0	0.03
chr8	143648621	143653366	ENSG00000232722	0.0	0.0	0.02	0.0	0.0	0.0	0.0
chr2	122067571	122067988	ENSG00000232723	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr17	73070401	73075644	ENSG00000232724	0.0	0.0	0.0	0.0	0.01	0.0	0.0
chrX	153001080	153031933	ENSG00000232725	0.0	1.45	0.0	1.8	0.06	0.14	0.0
chr7	63894208	63894970	ENSG00000232727	0.12	0.32	0.13	0.44	0.0	0.72	0.05
chr10	111287877	111288766	ENSG00000232728	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	74103273	74143339	ENSG00000232729	0.67	0.82	0.0	0.78	0.04	0.12	0.0
chr2	200732119	200775882	ENSG00000232732	0.87	0.86	0.01	0.61	0.05	0.03	0.07
chr10	71192728	71193127	ENSG00000232734	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	82253707	82254244	ENSG00000232735	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	35807732	35808250	ENSG00000232736	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	9556255	9558336	ENSG00000232738	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	15279491	15283766	ENSG00000232739	0.0	0.0	0.0	0.0	0.0	0.02	0.0
chr2	123823727	123831057	ENSG00000232740	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	132218533	132219150	ENSG00000232742	0.0	0.0	0.11	0.2	1.67	0.0	0.02
chr9	90431380	90432885	ENSG00000232743	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	12919021	12926710	ENSG00000232746	0.0	0.0	0.0	0.0	0.0	0.14	0.0
chr2	89934312	89934582	ENSG00000232747	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr16	31072813	31073451	ENSG00000232748	0.0	2.26	0.0	1.51	0.0	0.0	0.0
chr9	85068260	85070140	ENSG00000232749	0.0	0.0	0.03	0.0	0.0	0.0	0.0
chr1	179004444	179004787	ENSG00000232750	0.1	0.0	0.0	0.18	0.0	0.0	0.0
chr1	173320828	173321143	ENSG00000232751	0.0	1.71	0.0	1.6	0.0	0.0	0.0
chr1	94390299	94390941	ENSG00000232752	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22	41565194	41579148	ENSG00000232754	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	77619701	77624488	ENSG00000232756	0.0	0.0	0.01	0.0	0.0	0.44	0.0
chr6	29999490	30000780	ENSG00000232757	0.09	0.0	0.0	0.0	0.0	0.0	0.0
chr7	22602956	22613615	ENSG00000232759	0.0	0.2	0.0	3.33	0.17	1.48	0.02
chr2	132591356	132594105	ENSG00000232760	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	53770208	53773134	ENSG00000232762	0.08	0.0	0.0	0.0	0.0	0.0	0.0
chrX	55307804	55315218	ENSG00000232765	0.0	0.0	0.0	0.0	0.0	0.3	0.07
chr3	27744620	27745059	ENSG00000232766	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr10	118429614	118432250	ENSG00000232767	0.0	0.0	0.04	0.0	0.0	0.0	0.02
chr1	31523719	31523881	ENSG00000232768	0.4	0.0	0.0	0.0	0.0	0.0	0.0
chr22	21695884	21699547	ENSG00000232771	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	143854408	143855576	ENSG00000232772	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	9424039	9431428	ENSG00000232773	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr14	62037258	62125414	ENSG00000232774	0.02	14.48	0.17	0.08	0.35	0.0	0.24
chr22	16157079	16172700	ENSG00000232775	0.0	0.0	0.0	0.0	0.0	0.26	0.0
chr21	44535444	44535819	ENSG00000232777	0.46	0.0	0.0	0.0	0.0	0.0	0.0
chr6	108253004	108253458	ENSG00000232778	0.0	0.29	0.0	0.0	0.0	0.0	0.0
chr1	119977079	119977703	ENSG00000232780	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	197836983	197838749	ENSG00000232783	0.0	0.0	0.0	0.0	0.0	2.45	0.0
chr13	46126998	46127271	ENSG00000232786	0.0	0.0	0.0	0.0	0.0	0.0	0.0
